@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2

@attribute hour numeric
@attribute amps_avg numeric
@attribute kw_avg numeric

@data
18,0.1645,37.835
18,0.154,35.42
18,0.102667,23.613333
18,0.112,25.76
18,0.120167,27.638333
18,0.135333,31.126667
18,0.204167,46.958333
18,0.21,48.3
18,0.1995,45.885
18,0.170333,39.176667
18,0.149333,34.346667
18,0.131833,30.321667
18,0.133,30.59
18,0.131833,30.321667
18,0.130667,30.053333
18,0.14,32.2
18,0.1435,33.005
18,0.155167,35.688333
18,0.1715,39.445
18,0.162167,37.298333
18,0.142333,32.736667
18,0.148167,34.078333
18,0.1715,39.445
18,0.184333,42.396667
18,0.2065,47.495
18,0.175,40.25
18,0.183167,42.128333
18,0.176167,40.518333
18,0.147,33.81
18,0.135333,31.126667
18,0.134167,30.858333
18,0.165667,38.103333
18,0.2975,68.425
18,0.294,67.62
18,0.296333,68.156667
18,0.292833,67.351667
18,0.3535,81.305
18,0.453833,104.381667
18,0.306833,70.571667
18,0.316167,72.718333
18,0.2975,68.425
18,0.289333,66.546667
18,0.285833,65.741667
18,0.264833,60.911667
18,0.266,61.18
18,0.257833,59.301667
18,0.277667,63.863333
18,0.270667,62.253333
18,0.273,62.79
19,0.162167,37.298333
19,0.1645,37.835
19,0.141167,32.468333
19,0.200667,46.153333
19,0.296333,68.156667
19,0.296333,68.156667
19,0.242667,55.813333
19,0.1575,36.225
19,0.151667,34.883333
19,0.1575,36.225
19,0.247333,56.886667
19,0.288167,66.278333
19,0.274167,63.058333
19,0.130667,30.053333
19,0.119,27.37
19,0.117833,27.101667
19,0.162167,37.298333
19,0.207667,47.763333
19,0.2345,53.935
19,0.245,56.35
19,0.2415,55.545
19,0.273,62.79
19,0.257833,59.301667
19,0.260167,59.838333
19,0.200667,46.153333
19,0.197167,45.348333
19,0.1995,45.885
19,0.224,51.52
19,0.2135,49.105
19,0.226333,52.056667
19,0.215833,49.641667
19,0.180833,41.591667
19,0.168,38.64
19,0.1855,42.665
19,0.182,41.86
19,0.236833,54.471667
19,0.2065,47.495
19,0.214667,49.373333
19,0.2135,49.105
19,0.212333,48.836667
19,0.151667,34.883333
19,0.14,32.2
19,0.116667,26.833333
19,0.106167,24.418333
19,0.1295,29.785
19,0.144667,33.273333
19,0.1575,36.225
19,0.173833,39.981667
19,0.141167,32.468333
19,0.126,28.98
19,0.110833,25.491667
19,0.095667,22.003333
19,0.127167,29.248333
19,0.180833,41.591667
19,0.226333,52.056667
19,0.201833,46.421667
19,0.194833,44.811667
19,0.172667,39.713333
19,0.1155,26.565
19,0.081667,18.783333
20,0.065333,15.026667
20,0.1015,23.345
20,0.131833,30.321667
20,0.158667,36.493333
20,0.1785,41.055
20,0.1435,33.005
20,0.119,27.37
20,0.130667,30.053333
20,0.158667,36.493333
20,0.179667,41.323333
20,0.194833,44.811667
20,0.182,41.86
20,0.170333,39.176667
20,0.170333,39.176667
20,0.137667,31.663333
20,0.117833,27.101667
20,0.120167,27.638333
20,0.119,27.37
20,0.141167,32.468333
20,0.138833,31.931667
20,0.137667,31.663333
20,0.1365,31.395
20,0.141167,32.468333
20,0.133,30.59
20,0.144667,33.273333
20,0.191333,44.006667
20,0.190167,43.738333
20,0.2065,47.495
20,0.166833,38.371667
20,0.175,40.25
20,0.161,37.03
20,0.1085,24.955
20,0.112,25.76
20,0.1085,24.955
20,0.1085,24.955
20,0.131833,30.321667
20,0.170333,39.176667
20,0.1645,37.835
20,0.161,37.03
20,0.165667,38.103333
20,0.127167,29.248333
20,0.158667,36.493333
20,0.1785,41.055
20,0.187833,43.201667
20,0.179667,41.323333
20,0.190167,43.738333
20,0.179667,41.323333
20,0.166833,38.371667
20,0.131833,30.321667
20,0.077,17.71
20,0.098,22.54
20,0.1015,23.345
20,0.1155,26.565
20,0.169167,38.908333
20,0.173833,39.981667
20,0.166833,38.371667
20,0.182,41.86
20,0.194833,44.811667
20,0.159833,36.761667
20,0.135333,31.126667
21,0.1225,28.175
21,0.148167,34.078333
21,0.169167,38.908333
21,0.154,35.42
21,0.145833,33.541667
21,0.147,33.81
21,0.1225,28.175
21,0.096833,22.271667
21,0.092167,21.198333
