hour;minute;amps_avg;kw_avg
14;59;0.151667;34.883333
15;0;0.159833;36.761667
15;1;0.175;40.25
15;2;0.172667;39.713333
15;3;0.1225;28.175
15;4;0.109667;25.223333
15;5;0.0945;21.735
15;6;0.088667;20.393333
15;7;0.128333;29.516667
15;8;0.182;41.86
15;9;0.191333;44.006667
15;10;0.155167;35.688333
15;11;0.116667;26.833333
15;12;0.088667;20.393333
15;13;0.082833;19.051667
15;14;0.075833;17.441667
15;15;0.112;25.76
15;16;0.134167;30.858333
15;17;0.182;41.86
15;18;0.161;37.03
15;19;0.120167;27.638333
15;20;0.106167;24.418333
15;21;0.085167;19.588333
15;22;0.103833;23.881667
15;23;0.117833;27.101667
15;24;0.142333;32.736667
15;25;0.112;25.76
15;26;0.130667;30.053333
15;27;0.14;32.2
15;28;0.107333;24.686667
15;29;0.116667;26.833333
15;30;0.106167;24.418333
15;31;0.0735;16.905
15;32;0.105;24.15
15;33;0.1015;23.345
15;34;0.135333;31.126667
15;35;0.1575;36.225
15;36;0.134167;30.858333
15;37;0.1155;26.565
15;38;0.086333;19.856667
15;39;0.086333;19.856667
15;40;0.113167;26.028333
15;41;0.1575;36.225
15;42;0.144667;33.273333
15;43;0.131833;30.321667
15;44;0.144667;33.273333
15;45;0.113167;26.028333
15;46;0.098;22.54
15;47;0.110833;25.491667
15;48;0.110833;25.491667
15;49;0.102667;23.613333
15;50;0.114333;26.296667
15;51;0.098;22.54
15;52;0.112;25.76
15;53;0.117833;27.101667
15;54;0.1155;26.565
15;55;0.138833;31.931667
15;56;0.176167;40.518333
15;57;0.158667;36.493333
15;58;0.152833;35.151667
15;59;0.14;32.2
16;0;0.155167;35.688333
16;1;0.161;37.03
16;2;0.128333;29.516667
16;3;0.133;30.59
16;4;0.107333;24.686667
16;5;0.093333;21.466667
16;6;0.120167;27.638333
16;7;0.121333;27.906667
16;8;0.120167;27.638333
16;9;0.1365;31.395
16;10;0.131833;30.321667
16;11;0.105;24.15
16;12;0.154;35.42
16;13;0.1645;37.835
16;14;0.159833;36.761667
16;15;0.1855;42.665
16;16;0.148167;34.078333
16;17;0.128333;29.516667
16;18;0.0875;20.125
16;19;0.0595;13.685
16;20;0.075833;17.441667
16;21;0.093333;21.466667
16;22;0.093333;21.466667
16;23;0.135333;31.126667
16;24;0.120167;27.638333
16;25;0.102667;23.613333
16;26;0.100333;23.076667
16;27;0.1085;24.955
16;28;0.107333;24.686667
16;29;0.107333;24.686667
16;30;0.1505;34.615
16;31;0.165667;38.103333
16;32;0.176167;40.518333
16;33;0.144667;33.273333
16;34;0.133;30.59
16;35;0.096833;22.271667
